,Gene_Name,Series1_NHBE_Mock_1,Series1_NHBE_Mock_2,Series1_NHBE_Mock_3,Series1_NHBE_SARS-CoV-2_1,Series1_NHBE_SARS-CoV-2_2,Series1_NHBE_SARS-CoV-2_3
7479,SBNO2,395,466,649,713,478,1498
7480,STK11,489,550,712,538,378,1107
7481,MIDN,889,887,1288,940,761,2276
7483,CIRBP,658,638,931,628,607,1672
7484,C19orf24,153,150,266,216,127,413
7485,EFNA2,2,0,3,1,1,2
7486,MUM1,323,371,474,353,271,876
7487,NDUFS7,113,155,192,221,89,255
7488,GAMT,115,105,160,86,58,179
7489,DAZAP1,1262,1197,1866,1384,1303,3547
7490,RPS15,2010,1949,2842,2140,1554,5758
7492,C19orf25,200,180,309,220,174,450
7493,PCSK4,12,16,10,15,9,30
7494,REEP6,55,55,57,51,38,109
7495,ADAMTSL5,108,119,214,88,94,320
7497,MEX3D,64,104,140,106,77,192
7498,MBD3,255,232,350,352,156,536
7499,UQCR11,535,605,810,510,321,1312
7500,TCF3,875,930,1453,1091,759,2208
7501,ONECUT3,0,0,1,0,0,6
7502,ATP8B3,29,38,41,26,22,69
7503,REXO1,282,291,448,326,199,673
7505,KLF16,279,242,390,325,228,720
7507,SCAMP4,685,719,985,730,613,1893
7508,CSNK1G2,730,825,1196,963,653,1908
7509,BTBD2,420,475,703,635,276,1054
7510,MKNK2,3679,4105,5974,4477,3184,10163
7511,MOB3A,966,743,1078,956,816,2518
7512,IZUMO4,18,18,22,29,22,83
7513,AP3D1,2384,2266,3444,2623,2218,7079
7514,DOT1L,159,157,282,192,106,421
7515,PLEKHJ1,189,188,222,182,111,507
7516,SF3A2,244,290,364,298,223,631
7517,AMH,0,7,1,1,3,5
7519,OAZ1,2489,2150,3525,2335,1894,6896
7520,LSM7,265,242,452,263,239,760
7521,SPPL2B,92,115,153,117,79,194
7523,TIMM13,505,482,696,603,359,1221
7524,LMNB2,1149,1071,1591,1172,939,2859
7525,GADD45B,184,194,279,193,201,416
7526,GNG7,3,0,0,0,1,0
7528,SLC39A3,96,74,113,75,67,179
7529,SGTA,915,772,1204,1041,716,2315
7530,THOP1,306,257,430,336,285,866
7531,ZNF554,117,98,138,65,78,248
7532,ZNF555,78,81,113,55,61,166
7533,ZNF556,42,26,59,34,19,82
7534,ZNF57,127,92,186,121,120,317
7535,ZNF77,57,41,80,30,42,107
7536,TLE6,8,6,7,4,2,11
7537,TLE2,14,17,23,15,9,26
7538,AES,2791,2825,3672,3074,2123,6856
7539,GNA11,277,315,484,324,279,795
7540,GNA15,814,720,993,973,802,2301
7541,S1PR4,3,2,5,3,0,0
7542,NCLN,659,849,1024,854,553,2015
7544,NFIC,1787,1800,2490,1627,1446,4454
7545,DOHH,80,121,130,164,81,223
7546,FZR1,311,346,453,442,251,894
7547,MFSD12,190,264,319,248,155,658
7549,HMG20B,399,495,652,489,281,1033
7550,TBXA2R,0,3,2,3,0,6
7552,CACTIN,365,392,492,376,293,897
7553,PIP5K1C,477,477,705,547,373,1227
7554,TJP3,64,86,99,93,54,285
7555,APBA3,50,78,125,77,75,173
7556,MRPL54,172,141,174,166,146,461
7557,DAPK3,425,453,731,609,429,1247
7559,EEF2,24889,24147,36674,27959,21034,66223
7560,PIAS4,166,157,286,199,153,497
7561,ZBTB7A,1252,1273,2270,1319,1087,3609
7562,MAP2K2,1247,1095,1568,1355,1094,3303
7563,CREB3L3,0,0,0,0,0,1
7564,SIRT6,93,108,142,142,83,282
7567,FSD1,1,0,0,0,0,9
7568,STAP2,362,339,472,417,384,1198
7569,MPND,40,39,72,55,24,106
7570,SH3GL1,1589,1746,2289,1756,1252,4062
7571,CHAF1A,291,264,399,234,243,671
7572,UBXN6,799,828,1182,851,654,1972
7575,PLIN5,0,0,0,1,0,2
7576,LRG1,54,41,42,75,54,148
7578,TNFAIP8L1,105,111,133,77,84,262
7579,DPP9,1590,1472,2233,1802,1454,4722
7581,FEM1A,392,372,538,413,323,958
7582,TICAM1,780,704,976,862,810,2222
7583,PLIN3,1058,1083,1698,1278,894,2897
7585,UHRF1,138,139,161,180,125,357
7586,KDM4B,518,624,834,593,446,1357
7587,PTPRS,525,551,768,436,341,998
7589,SAFB2,805,771,1256,751,747,2067
7590,SAFB,1575,1294,2295,1340,1380,3999
7591,C19orf70,242,226,387,310,166,605
7593,RPL36,5161,5320,7649,6040,3832,12519
7594,LONP1,696,618,955,765,507,1779
7596,DUS3L,55,64,72,81,54,150
7598,FUT6,32,28,48,29,24,65
7599,FUT3,408,390,491,441,389,1354
7601,NDUFA11,508,503,842,676,382,1287
7604,RANBP3,519,498,805,559,448,1529
7606,RFX2,70,57,95,45,51,159
7607,MLLT1,564,571,879,611,473,1377
7608,ACER1,0,0,0,2,0,0
7609,CLPP,243,287,411,334,217,768
7610,ALKBH7,34,43,50,29,16,67
7611,PSPN,1,1,2,0,2,3
7612,GTF2F1,951,888,1414,1126,829,2573
7613,KHSRP,1346,1247,2020,1226,1033,3245
7615,SLC25A23,861,748,1074,840,799,2531
7616,CRB3,125,136,183,189,115,328
7617,DENND1C,10,16,9,15,9,30
7618,TUBB4A,1,0,2,0,0,0
7619,TNFSF9,190,169,275,130,126,428
7621,TNFSF14,8,14,16,38,45,99
7622,C3,3074,2671,3646,7615,6725,18785
7623,GPR108,830,729,1023,903,801,2159
7624,TRIP10,1771,1927,2505,1736,1722,4874
7625,SH2D3A,552,569,789,697,497,1669
7626,VAV1,38,26,38,47,38,104
7628,ZNF557,118,101,116,82,71,231
7629,INSR,177,116,211,176,137,440
7630,ARHGEF18,871,768,1279,986,743,2334
7632,PEX11G,8,21,18,14,7,33
7634,MCOLN1,114,134,158,140,109,340
7635,PNPLA6,534,639,847,807,486,1473
7636,CAMSAP3,170,181,258,202,137,369
7637,XAB2,353,353,537,498,300,911
7638,PET100,348,320,555,310,365,1104
7639,PCP2,2,0,2,4,1,4
7640,STXBP2,1220,1209,1694,1169,1066,3120
7641,TRAPPC5,110,117,115,202,51,220
7643,EVI5L,303,292,441,342,242,763
7644,LRRC8E,129,154,237,165,136,414
7645,MAP2K7,284,316,392,340,217,706
7647,SNAPC2,105,78,119,101,54,217
7648,CTXN1,45,48,74,59,36,157
7649,TIMM44,384,325,506,352,347,1037
7650,ELAVL1,1039,852,1393,892,840,2702
7651,CCL25,2,0,0,0,0,1
7653,CERS4,59,57,97,58,68,138
7654,CD320,85,82,125,91,90,218
7655,NDUFA7,591,586,827,577,415,1488
7656,RPS28,1177,1280,1951,1319,731,2618
7658,ANGPTL4,3414,2733,4060,4187,3363,11254
7660,RAB11B,537,582,804,559,405,1392
7661,MARCH2,83,95,157,107,96,304
7662,HNRNPM,2401,2196,3187,2130,2168,5965
7665,MYO1F,0,1,4,3,3,16
7666,ADAMTS10,1,2,1,0,4,0
7667,ZNF558,134,162,256,144,167,415
7668,MUC16,406,350,554,239,191,843
7669,OR1M1,0,0,0,0,2,5
7670,ZNF317,757,666,1133,750,720,1911
7671,OR7D2,0,0,2,0,0,2
7672,ZNF699,66,68,88,51,66,169
7673,ZNF559,70,75,126,38,67,149
7674,ZNF266,266,209,374,187,221,528
7676,ZNF426,137,126,232,111,160,397
7677,ZNF121,296,294,502,238,303,763
7678,ZNF561,888,871,1424,725,842,2280
7679,ZNF562,473,520,806,424,493,1636
7681,FBXL12,133,113,194,148,120,390
7682,UBL5,2526,2134,3595,2126,2117,6045
7683,PIN1,337,321,433,292,223,835
7684,OLFM2,21,14,32,21,27,56
7685,COL5A3,2,4,10,1,3,14
7688,PPAN,10,7,16,5,9,21
7689,P2RY11,13,10,26,13,10,30
7690,EIF3G,1118,1224,1693,1612,1194,3400
7691,DNMT1,685,576,847,607,570,1778
7692,S1PR2,52,67,83,68,59,138
7693,MRPL4,448,430,609,517,352,1225
7694,ICAM1,679,782,828,2324,2219,5844
7695,ICAM4,43,64,58,33,29,100
7696,ICAM5,10,17,22,26,16,38
7697,ZGLP1,24,33,36,25,14,57
7698,RAVER1,380,393,528,377,338,1085
7699,ICAM3,53,43,88,72,50,144
7700,TYK2,547,591,789,675,513,1435
7701,CDC37,2858,2827,4443,3425,2683,9139
7702,PDE4A,44,33,68,24,26,111
7703,KEAP1,541,464,762,527,467,1400
7704,S1PR5,278,292,470,200,234,645
7705,ATG4D,109,107,151,121,72,218
7706,KRI1,574,617,918,514,526,1636
7707,CDKN2D,210,191,270,178,236,531
7708,AP1M2,1236,1101,1592,1047,1143,3199
7709,SLC44A2,3714,3632,4972,3557,3261,10446
7710,ILF3,3366,3065,4880,3218,3042,8822
7711,QTRT1,80,109,121,119,67,208
7712,DNM2,1900,1810,2783,2073,1744,5347
7713,TMED1,97,138,144,178,75,287
7715,CARM1,1017,956,1308,886,804,2613
7716,YIPF2,418,523,540,571,276,1034
7717,SMARCA4,1790,1722,2529,2059,1595,5113
7718,LDLR,4963,4702,6969,5711,5193,17260
7720,KANK2,309,325,547,274,242,713
7721,DOCK6,550,560,772,650,520,1464
7722,RAB3D,1746,1527,2360,1397,1622,4570
7723,TMEM205,279,277,426,310,219,669
7724,CCDC159,52,43,90,46,30,129
7725,SWSAP1,39,44,45,27,25,60
7726,EPOR,20,16,26,23,16,59
7727,CCDC151,3,5,12,3,4,6
7728,PRKCSH,2276,2277,3190,2538,2004,5796
7729,ZNF653,33,39,65,54,30,120
7730,ECSIT,100,104,164,107,72,272
7731,CNN1,0,0,3,0,0,2
7732,ELOF1,423,331,572,446,365,1341
7733,ACP5,536,474,694,430,373,1150
7734,ZNF627,117,102,174,87,91,249
7739,ZNF440,145,147,261,142,135,398
7740,ZNF439,17,12,24,17,18,68
7741,ZNF69,31,27,33,24,23,101
7742,ZNF700,104,74,162,83,101,260
7744,ZNF433,68,88,144,59,67,190
7748,ZNF625,15,7,8,19,8,47
7749,ZNF136,83,77,117,72,72,175
7750,ZNF44,64,73,94,55,71,131
7751,ZNF563,27,40,78,35,29,80
7753,ZNF799,29,13,26,12,20,48
7756,ZNF564,126,126,230,83,124,308
7757,ZNF490,82,92,128,85,75,216
7758,ZNF791,191,194,419,177,160,494
7759,MAN2B1,710,665,1006,772,659,1890
7760,WDR83,95,90,146,103,77,275
7761,WDR83OS,324,297,486,342,265,802
7762,DHPS,351,265,494,368,315,949
7763,FBXW9,64,58,74,52,37,163
7764,TNPO2,1731,1729,2371,1867,1578,4801
7765,ASNA1,704,684,1046,700,572,1866
7766,BEST2,0,0,3,0,0,0
7767,HOOK2,390,472,595,370,380,1042
7768,JUNB,515,691,908,795,372,1288
7769,PRDX2,1258,1206,1826,1428,1095,3497
7770,RNASEH2A,118,118,166,107,103,299
7772,DNASE2,382,396,542,324,326,900
7773,KLF1,0,0,0,1,0,0
7774,GCDH,88,65,139,104,93,222
7775,SYCE2,1,3,2,0,0,2
7776,FARSA,754,653,1030,922,658,2097
7777,CALR,22745,21422,32309,20841,22747,58958
7778,RAD23A,811,893,1175,883,727,2455
7779,GADD45GIP1,345,364,561,517,309,1029
7780,DAND5,0,0,1,0,0,0
7781,NFIX,785,811,1180,636,543,1661
7783,TRMT1,320,357,526,454,323,1015
7784,NACC1,1232,1280,2004,1382,1038,3241
7785,STX10,462,440,598,415,398,1176
7786,IER2,223,236,369,225,210,638
7787,CACNA1A,1,1,0,2,1,1
7788,CCDC130,113,134,176,121,114,334
7789,MRI1,349,422,568,341,269,891
7790,C19orf53,697,647,1018,669,474,1894
7791,ZSWIM4,317,318,411,437,343,1171
7796,NANOS3,2,1,3,3,4,12
7797,C19orf57,8,3,4,4,5,18
7798,CC2D1A,363,489,520,462,310,1074
7800,DCAF15,158,180,285,185,147,380
7802,IL27RA,57,47,60,41,46,115
7804,SAMD1,194,205,237,243,218,569
7805,PRKACA,1432,1273,1996,1135,1232,3574
7806,ASF1B,66,45,68,63,51,158
7808,DDX39A,265,301,404,281,253,857
7809,PKN1,114,104,192,121,100,307
7810,PTGER1,0,2,0,0,0,0
7811,GIPC1,3144,3143,4668,3731,2593,8297
7812,DNAJB1,3767,3353,5186,3143,3087,9134
7813,TECR,880,903,1307,884,773,2442
7814,NDUFB7,400,401,561,528,290,957
7815,ZNF333,83,93,132,62,63,195
7818,SYDE1,92,72,129,105,86,269
7819,ILVBL,213,194,305,219,172,523
7820,NOTCH3,1217,1287,1682,1233,893,2836
7821,EPHX3,12,13,35,23,9,76
7822,BRD4,729,742,1075,675,579,1852
7823,AKAP8,586,493,712,559,499,1572
7824,AKAP8L,1161,1048,1562,1051,1134,3132
7825,WIZ,680,694,1005,759,555,1913
7829,CYP4F12,5,3,7,1,2,9
7830,OR10H1,0,0,1,0,0,0
7832,CYP4F2,3,1,3,2,1,3
7833,CYP4F11,40,28,59,28,27,61
7834,TPM4,19840,17821,28103,16549,17956,52591
7835,RAB8A,1664,1396,2112,1371,1408,4195
7836,HSH2D,35,30,73,55,54,185
7837,CIB3,1,1,0,0,0,4
7838,FAM32A,1732,1460,2551,1519,1533,4484
7839,AP1M1,351,339,492,403,287,954
7840,KLF2,5,2,6,0,0,2
7841,EPS15L1,425,375,535,328,392,1048
7843,C19orf44,52,34,51,49,41,126
7844,CHERP,360,435,572,433,255,876
7845,SLC35E1,972,905,1437,1042,910,2703
7846,MED26,127,100,173,121,113,295
7847,SMIM7,723,564,1030,571,626,1737
7848,TMEM38A,76,76,97,40,51,136
7849,NWD1,32,40,53,22,21,72
7850,SIN3B,682,689,1065,720,633,1964
7851,CPAMD8,3,2,9,12,2,31
7852,HAUS8,69,45,61,44,64,137
7853,MYO9B,895,807,1180,992,798,2276
7854,USE1,44,58,74,62,50,127
7855,OCEL1,48,69,97,46,36,122
7856,NR2F6,304,320,454,304,245,815
7857,BABAM1,1038,970,1426,985,860,2829
7858,ANKLE1,17,14,20,23,20,57
7860,MRPL34,283,274,435,229,241,675
7861,DDA1,763,739,1033,840,645,2083
7862,ANO8,96,110,139,113,81,252
7863,GTPBP3,75,81,116,113,78,200
7864,BST2,20,36,36,55,53,190
7865,MVB12A,108,98,147,122,118,347
7867,SLC27A1,211,234,284,191,136,459
7868,PGLS,204,239,376,261,201,681
7870,UNC13A,2,4,1,3,2,0
7871,MAP1S,81,135,120,151,84,257
7872,FCHO1,26,36,40,36,14,88
7873,B3GNT3,377,309,477,371,279,1032
7874,INSL3,2,6,1,2,2,1
7875,JAK3,26,23,28,17,23,50
7876,RPL18A,3725,3573,4923,5036,2784,9801
7878,SLC5A5,0,0,1,1,1,2
7879,CCDC124,431,544,637,772,291,1258
7880,KCNN1,0,0,0,0,0,4
7881,ARRDC2,168,155,224,192,194,456
7882,IL12RB1,0,0,0,0,1,1
7883,MAST3,153,174,222,133,129,359
7884,PIK3R2,1196,1202,1855,1026,818,2578
7885,IFI30,255,202,319,192,187,678
7886,MPV17L2,259,262,348,317,253,917
7887,RAB3A,29,34,38,44,18,93
7888,PDE4C,16,21,22,11,10,40
7890,JUND,278,269,337,253,212,705
7891,LSM4,1401,1220,2025,1273,1148,3867
7892,PGPEP1,333,303,512,295,275,784
7893,GDF15,779,976,900,1217,601,1728
7895,SSBP4,76,116,90,94,63,170
7896,ISYNA1,172,234,289,220,144,426
7897,ELL,160,225,273,224,162,461
7898,FKBP8,1389,1494,2204,1885,1067,3653
7899,KXD1,1782,1522,2176,1571,1404,4496
7900,UBA52,4208,3243,5558,3076,3142,10410
7901,CRLF1,4,9,1,6,2,17
7904,CRTC1,92,110,123,82,83,180
7905,COMP,2,0,5,0,0,0
7906,UPF1,1389,1248,2148,1394,1127,3335
7908,COPE,696,852,881,1111,572,1901
7909,DDX49,166,181,257,249,137,452
7910,HOMER3,1123,1061,1551,1144,866,2690
7911,SUGP2,1213,1308,1748,1270,1202,3653
7912,ARMC6,157,118,203,178,99,365
7913,SLC25A42,63,54,72,49,47,114
7914,TMEM161A,111,129,149,162,72,289
7915,RFXANK,229,253,309,260,227,641
7916,NR2C2AP,60,57,65,43,48,139
7917,TM6SF2,0,0,0,0,0,2
7918,SUGP1,699,670,921,563,576,1656
7919,MAU2,436,384,629,447,339,1076
7920,GATAD2A,900,908,1340,1021,748,2335
7921,TSSK6,6,5,8,7,5,14
7922,NDUFA13,1756,1725,2428,1670,1310,4611
7923,YJEFN3,3,8,12,5,2,15
7924,CILP2,3,4,3,3,0,10
7926,LPAR2,114,120,147,126,110,326
7927,GMIP,181,213,276,185,173,572
7928,ATP13A1,515,535,798,616,468,1356
7929,ZNF101,73,45,108,56,66,178
7930,ZNF14,31,39,81,26,23,77
7932,ZNF506,91,109,249,93,101,279
7933,ZNF253,93,75,139,66,69,185
7935,ZNF682,43,59,71,33,39,96
7937,ZNF486,117,91,206,111,109,295
7939,ZNF737,127,179,289,129,142,381
7940,ZNF626,134,162,270,118,100,320
7941,ZNF85,48,58,114,44,50,127
7942,ZNF430,146,157,259,119,142,375
7943,ZNF714,139,143,245,91,107,408
7944,ZNF431,188,185,445,154,154,514
7945,ZNF708,35,70,137,61,55,153
7946,ZNF738,133,110,203,93,115,360
7947,ZNF493,24,62,140,34,22,111
7949,ZNF100,67,55,110,58,41,134
7951,ZNF208,15,15,39,16,8,40
7952,ZNF257,4,4,12,2,3,15
7953,ZNF676,6,0,2,2,3,10
7955,ZNF492,6,2,14,6,5,15
7959,ZNF675,90,119,254,92,98,243
7960,ZNF681,24,29,74,20,20,59
7961,RPSAP58,83,90,128,61,56,249
7963,ZNF254,102,112,251,104,82,264
7965,UQCRFS1,925,708,1205,735,749,2393
7966,POP4,461,424,716,310,368,1142
7967,PLEKHF1,35,28,57,51,29,133
7968,C19orf12,83,104,146,98,92,268
7969,CCNE1,168,135,242,150,127,365
7970,URI1,972,822,1508,858,841,2325
7971,TSHZ3,161,149,209,106,118,366
7972,ZNF507,329,301,477,215,231,637
7974,DPY19L3,46,48,81,39,37,156
7975,PDCD5,759,676,1207,803,739,2107
7976,ANKRD27,374,394,553,328,374,1073
7978,NUDT19,179,156,217,164,201,473
7979,TDRD12,0,0,0,1,2,0
7981,CEP89,277,219,362,224,194,612
7982,RHPN2,219,177,303,184,166,485
7983,GPATCH1,127,121,219,114,109,337
7985,LRP3,108,148,168,146,50,217
7987,CEBPA,33,38,59,34,25,85
7988,CEBPG,336,295,633,322,300,1012
7989,PEPD,189,230,378,275,173,462
7990,KCTD15,166,152,285,160,156,407
7991,LSM14A,917,817,1535,736,753,2135
7992,KIAA0355,174,180,316,182,134,447
7993,GPI,3883,3435,5259,3828,3363,10975
7994,PDCD2L,50,63,76,61,51,193
7995,UBA2,868,713,1226,667,754,2092
7996,WTIP,64,66,62,71,28,155
7999,ZNF302,85,81,136,62,58,165
8000,ZNF181,42,48,80,33,42,105
8001,ZNF599,17,17,17,15,14,61
8002,ZNF30,43,37,47,27,57,137
8003,ZNF792,36,17,27,29,43,106
8004,GRAMD1A,261,301,388,382,238,805
8005,SCN1B,4,0,7,5,2,6
8006,FXYD3,6230,6129,8519,4785,5074,15245
8009,FXYD7,0,0,2,0,0,0
8010,FXYD5,6054,6094,7999,7116,6749,20431
8011,LSR,1690,1788,2248,2207,1462,4527
8012,USF2,766,731,1123,769,720,2105
8013,CD22,0,0,3,0,1,0
8014,KRTDAP,1,1,0,0,1,4
8015,DMKN,1674,1412,2101,1473,1446,4354
8016,SBSN,122,136,209,120,105,289
8018,TMEM147,324,272,426,350,304,985
8019,ATP4A,1,0,0,0,0,2
8020,HAUS5,124,149,192,105,106,300
8021,RBM42,358,351,549,404,285,971
8023,COX6B1,2953,2507,4332,2368,2219,7343
8026,ZBTB32,0,0,0,0,0,2
8028,U2AF1L4,65,78,103,79,50,176
8029,PSENEN,493,373,554,424,400,1467
8030,LIN37,109,111,117,109,100,310
8031,HSPB6,15,9,31,14,5,37
8032,ARHGAP33,16,21,20,24,10,50
8033,NPHS1,0,0,0,0,0,3
8035,APLP1,9,8,19,13,4,20
8036,NFKBID,71,45,65,46,65,140
8038,LRFN3,105,119,94,112,61,245
8039,SDHAF1,104,77,146,79,78,177
8040,SYNE4,57,92,102,114,45,201
8041,ALKBH6,173,170,193,196,139,564
8042,CLIP3,36,38,54,30,30,84
8043,THAP8,45,42,54,47,34,78
8045,POLR2I,165,159,238,193,152,407
8046,TBCB,440,425,660,473,400,1220
8047,CAPNS1,6595,5694,8975,5404,5262,15311
8048,COX7A1,8,10,9,7,3,21
8049,ZNF565,19,27,25,23,23,93
8053,ZFP14,73,61,106,66,45,142
8058,ZNF529,42,30,77,51,43,114
8059,ZNF382,37,32,71,34,51,90
8060,ZNF461,57,48,98,43,37,110
8061,ZNF567,217,185,281,174,186,447
8064,ZNF790,114,84,162,84,94,221
8067,ZNF568,77,62,121,72,76,194
8068,ZNF420,44,42,93,53,33,174
8069,ZNF585A,117,121,223,82,89,321
8070,ZNF585B,201,220,360,185,231,590
8071,ZNF383,45,34,45,29,40,94
8072,HKR1,582,493,720,461,524,1375
8074,ZNF569,53,44,94,50,57,119
8075,ZNF570,55,39,71,40,53,115
8076,ZNF793,126,107,258,95,127,296
8077,ZNF540,1,2,4,1,5,8
8078,ZNF571,18,24,84,26,33,97
8079,ZFP30,84,87,168,51,77,195
8081,ZNF607,218,222,396,159,169,467
8082,ZNF573,17,16,12,15,13,49
8084,SIPA1L3,408,384,549,464,323,1110
8085,DPF1,3,4,10,4,9,13
8086,PPP1R14A,13,11,22,15,6,29
8087,SPINT2,4841,4298,6703,4474,4335,12429
8088,YIF1B,264,380,411,285,246,773
8089,C19orf33,1368,1466,2243,1610,988,3674
8090,KCNK6,700,658,928,708,602,1708
8091,CATSPERG,10,9,20,3,5,16
8092,PSMD8,2400,2091,3154,2319,2218,7081
8093,GGN,2,6,3,3,1,11
8094,SPRED3,172,146,202,156,168,518
8095,FAM98C,70,67,89,36,37,146
8096,RYR1,48,46,57,59,51,133
8097,MAP4K1,4,2,3,1,4,5
8098,EIF3K,1512,1303,2120,1400,1294,4204
8099,ACTN4,12384,12041,16160,13180,9278,29229
8100,CAPN12,92,116,173,120,111,363
8101,LGALS7B,79,86,141,115,55,215
8103,ECH1,513,519,733,579,393,1362
8104,HNRNPL,2025,1598,2464,1624,1761,5084
8105,RINL,69,67,109,73,68,213
8106,SIRT2,820,787,1097,682,662,1838
8107,NFKBIB,300,279,424,314,247,785
8108,SARS2,148,132,192,153,128,339
8109,MRPS12,327,271,434,313,217,815
8110,FBXO17,162,149,216,134,106,325
8111,FBXO27,109,121,192,94,100,316
8112,PAK4,307,271,456,380,231,749
8114,IFNL2,0,0,5,2,0,0
8115,IFNL1,0,0,6,0,0,5
8116,LRFN1,3,4,3,3,5,12
8117,GMFG,0,1,0,1,0,3
8118,SAMD4B,799,747,1316,822,713,2181
8119,PAF1,1490,1337,1933,1487,1442,4220
8120,MED29,495,522,751,440,416,1160
8121,ZFP36,832,979,1222,944,855,2211
8122,PLEKHG2,679,644,846,624,576,1826
8123,RPS16,5729,4879,7187,4566,4020,13852
8124,SUPT5H,2133,2092,2992,2103,1970,5787
8125,TIMM50,619,478,771,487,468,1444
8126,DLL3,3,4,6,1,8,6
8127,EID2B,21,9,17,4,8,28
8128,EID2,41,50,103,42,40,101
8129,DYRK1B,201,254,286,234,153,549
8130,FBL,789,605,1109,696,608,1992
8132,PSMC4,811,724,1143,783,779,2313
8134,ZNF780B,36,38,109,42,49,131
8135,ZNF780A,98,77,165,61,73,214
8136,MAP3K10,61,89,155,132,51,211
8137,CNTD2,0,0,1,2,0,3
8138,AKT2,1505,1462,2256,1586,1210,4015
8141,PLD3,1027,993,1117,1202,831,2469
8143,PRX,9,9,22,13,11,25
8144,SERTAD1,127,101,203,116,95,302
8145,SERTAD3,309,300,436,285,233,859
8146,BLVRB,875,837,1141,916,662,2096
8147,SPTBN4,0,1,4,3,3,5
8148,SHKBP1,350,448,567,437,302,1142
8149,LTBP4,388,507,795,652,375,1206
8150,NUMBL,447,387,500,395,265,1015
8151,ITPKC,1056,1043,1598,1161,930,2607
8152,C19orf54,109,109,145,89,87,248
8153,SNRPA,759,651,1116,715,690,2173
8155,EGLN2,0,0,0,3,1,0
8158,CYP2B6,0,0,4,3,1,0
8159,CYP2S1,2281,2175,2767,2377,1972,5980
8160,AXL,772,729,1204,678,590,1940
8161,HNRNPUL1,3930,3750,5690,3453,3524,9674
8162,CCDC97,357,388,492,376,298,982
8163,TGFB1,1682,1763,2435,1986,1558,4535
8164,B9D2,18,32,31,25,17,49
8166,EXOSC5,47,33,47,60,20,126
8167,BCKDHA,342,347,469,380,307,849
8168,B3GNT8,38,56,76,51,24,99
8169,CEACAM7,7,1,1,13,10,13
8170,CEACAM5,1075,870,1227,704,718,1902
8171,CEACAM6,3753,3126,5056,3113,2808,9045
8172,CEACAM3,0,0,1,0,1,8
8173,RPS19,6863,6307,9776,5478,5152,17253
8175,ARHGEF1,596,598,816,715,451,1540
8176,RABAC1,197,262,350,200,160,528
8177,ATP1A3,11,8,12,4,4,11
8178,GRIK5,10,5,10,5,8,20
8179,ZNF574,223,217,270,232,169,562
8180,POU2F2,119,85,153,148,144,455
8182,DEDD2,251,226,327,274,231,723
8183,ZNF526,193,199,303,170,130,509
8184,GSK3A,1483,1304,1932,1383,1382,3826
8185,ERF,1227,1458,2041,949,877,2864
8186,CIC,732,792,1137,743,567,1804
8187,PAFAH1B3,160,161,252,202,120,415
8188,PRR19,11,16,19,18,2,42
8189,MEGF8,1291,1370,1635,1093,988,2964
8190,CNFN,9,17,22,5,8,36
8191,LIPE,57,72,91,114,63,216
8192,CXCL17,1448,1366,1900,1315,1293,3702
8193,CEACAM1,619,542,759,515,503,1679
8196,PSG1,7,6,14,8,14,45
8197,PSG6,2,4,9,2,5,27
8199,PSG2,6,3,4,4,6,1
8200,PSG5,22,26,31,19,15,52
8202,PSG9,7,2,13,5,7,18
8203,CD177,10,7,26,16,4,27
8205,LYPD3,1266,1379,1813,1542,1295,3833
8206,PHLDB3,97,118,222,145,103,341
8207,ETHE1,796,729,925,753,611,1979
8209,XRCC1,254,218,379,315,252,748
8212,ZNF576,107,105,158,111,100,251
8213,ZNF428,90,79,164,107,68,245
8215,CADM4,127,109,157,110,102,286
8216,PLAUR,442,385,519,601,512,1641
8217,SMG9,514,524,718,573,479,1457
8218,KCNN4,423,529,650,473,399,1152
8219,LYPD5,12,8,12,11,6,38
8223,ZNF45,172,139,216,116,135,398
8224,ZNF221,23,32,40,21,31,44
8225,ZNF155,100,82,174,68,84,220
8226,ZNF230,81,58,81,39,81,150
8227,ZNF222,20,35,43,32,33,112
8228,ZNF223,122,118,183,92,120,290
8230,ZNF224,253,191,349,178,199,584
8232,ZNF225,66,59,130,47,58,182
8233,ZNF234,164,150,214,122,135,376
8234,ZNF226,143,173,286,116,161,407
8235,ZNF227,184,168,303,123,178,400
8238,ZNF285,39,34,58,27,33,138
8243,PVR,2579,2418,3333,2315,2440,7478
8245,BCL3,216,259,303,382,287,968
8246,CBLC,250,269,401,381,239,879
8247,BCAM,575,875,816,486,451,1212
8248,TOMM40,670,630,905,821,549,1924
8249,APOE,270,269,412,238,176,508
8250,APOC1,4,4,28,12,6,30
8252,CLPTM1,1083,978,1308,1080,943,2682
8253,RELB,76,81,88,143,122,272
8254,CLASRP,339,343,490,317,293,825
8256,GEMIN7,121,132,178,115,129,441
8259,TRAPPC6A,36,36,52,39,31,78
8260,BLOC1S3,147,148,186,138,135,424
8262,MARK4,831,750,1225,803,730,2233
8263,KLC3,78,104,135,121,71,195
8264,ERCC2,257,235,404,263,224,762
8265,PPP1R13L,1111,1343,1757,1209,918,2976
8266,CD3EAP,274,298,467,254,262,852
8267,ERCC1,1083,1066,1494,1083,913,3074
8268,FOSB,20,13,17,22,21,56
8269,RTN2,91,111,82,82,61,217
8271,VASP,1612,1302,2076,1382,1247,3930
8272,OPA3,644,594,920,552,529,1713
8273,GPR4,2,1,6,0,1,0
