,Gene_Name,Series1_NHBE_Mock_1,Series1_NHBE_Mock_2,Series1_NHBE_Mock_3,Series1_NHBE_SARS-CoV-2_1,Series1_NHBE_SARS-CoV-2_2,Series1_NHBE_SARS-CoV-2_3
1502,CD55,342,268,449,290,392,924
1504,CD46,903,1012,2021,875,870,2576
1507,CD34,0,0,2,2,1,3
1508,PLXNA2,1115,1009,1449,875,851,2549
1512,LAMB3,22012,20690,30254,27130,22510,68089
1514,G0S2,1421,1369,2302,2602,1900,7007
1515,HSD11B1,891,722,1214,881,1051,3330
1516,TRAF3IP3,5,3,1,2,2,15
1518,IRF6,6449,5743,9200,5492,6300,18044
1521,SERTAD4,75,57,97,53,48,151
1522,HHAT,99,105,153,69,73,223
1523,RCOR3,439,410,573,337,314,1047
1524,TRAF5,45,42,99,37,32,123
1527,SLC30A1,105,136,195,90,103,250
1528,NEK2,80,67,155,58,68,140
1529,LPGAT1,727,598,1121,491,597,1568
1530,INTS7,168,152,292,141,147,436
1531,DTL,57,39,67,41,37,141
1532,PPP2R5A,112,145,301,115,142,314
1535,NENF,276,313,457,311,289,743
1536,ATF3,85,66,116,75,120,202
1538,BATF3,1,0,1,0,0,2
1539,NSL1,250,181,338,165,171,559
1540,TATDN3,125,96,173,94,87,300
1541,FLVCR1,107,88,153,79,85,234
1543,ANGEL2,172,143,242,122,119,331
1544,RPS6KC1,457,412,687,336,417,1010
1545,PROX1,7,9,10,5,7,22
1546,SMYD2,332,275,495,310,292,908
1547,PTPN14,1928,2039,3548,1829,1776,5375
1548,CENPF,592,520,1192,403,394,1183
1549,KCNK2,0,0,2,0,0,0
1550,KCTD3,727,694,1181,596,625,1918
1551,USH2A,0,0,0,0,2,0
1553,GPATCH2,222,169,321,188,202,572
1554,SPATA17,9,4,13,10,9,33
1555,RRP15,217,164,339,157,225,529
1556,TGFB2,431,469,929,542,479,1501
1558,SLC30A10,0,2,4,0,4,6
1559,EPRS,2954,2443,4308,2298,2664,6949
1560,BPNT1,650,530,859,564,565,1738
1561,IARS2,1416,1244,2366,1219,1176,3690
1562,RAB3GAP2,771,755,1421,628,665,1984
1563,MARK1,402,378,618,324,373,965
1565,MARC2,19,31,56,10,18,72
1566,MARC1,62,58,92,40,40,150
1568,DUSP10,948,873,1195,548,517,1518
1570,TAF1A,54,50,134,46,43,111
1571,MIA3,1281,1105,1777,924,1101,2954
1572,AIDA,211,193,414,185,193,535
1573,BROX,290,261,555,207,248,678
1574,FAM177B,2,0,2,0,0,4
1575,DISP1,74,72,129,69,66,179
1576,TLR5,32,36,74,32,28,75
1578,CAPN8,10,12,11,8,2,16
1579,CAPN2,8739,7884,13475,8111,7739,22548
1580,TP53BP2,676,567,1093,588,664,1981
1581,FBXO28,373,290,654,309,329,966
1582,DEGS1,367,399,700,375,385,1098
1583,NVL,275,230,417,235,238,710
1585,CNIH4,343,357,736,267,295,863
1586,WDR26,1550,1498,2898,1309,1412,3587
1588,DNAH14,37,32,110,43,41,114
1589,LBR,178,165,270,135,141,426
1590,ENAH,2256,2114,3649,1938,1893,5548
1591,SRP9,144,245,884,233,204,514
1592,EPHX1,698,581,899,469,537,1451
1593,TMEM63A,330,353,495,370,324,1123
1594,PYCR2,405,454,652,417,353,1113
1595,SDE2,256,276,433,245,280,879
1596,ACBD3,1617,1293,2220,1239,1307,4164
1598,LIN9,59,63,135,57,49,159
1599,PARP1,1450,1198,2127,1264,1418,3750
1600,ITPKB,262,252,381,263,201,638
1601,PSEN2,135,131,213,146,126,375
1602,CDC42BPA,886,791,1443,743,709,2247
1604,JMJD4,115,81,141,102,87,285
1605,SNAP47,144,129,244,132,138,414
1606,WNT9A,21,34,49,35,21,53
1608,WNT3A,1,0,0,2,0,0
1609,ARF1,3533,3330,5139,3837,2989,9670
1610,C1orf35,128,185,216,169,79,382
1611,MRPL55,117,109,158,122,81,316
1612,GUK1,1394,1420,2015,1984,1063,3803
1614,IBA57,78,63,121,70,77,216
1615,OBSCN,355,367,477,414,281,862
1616,TRIM11,338,334,535,379,340,1047
1617,TRIM17,42,42,87,36,38,76
1618,HIST3H2A,22,19,27,21,17,54
1619,HIST3H2BB,1,0,1,2,1,1
1620,RNF187,1103,1200,1944,1119,972,3364
1621,RHOU,19,9,28,12,9,38
1623,RAB4A,413,294,608,305,340,1016
1625,ACTA1,0,0,3,0,0,2
1626,NUP133,633,463,1061,434,444,1354
1627,ABCB10,144,148,235,141,180,381
1628,TAF5L,299,225,401,299,236,754
1629,URB2,138,109,202,123,127,451
1630,GALNT2,5002,4595,6748,4040,4004,11354
1631,PGBD5,176,147,251,173,158,533
1632,COG2,494,446,593,413,422,1174
1635,TTC13,311,248,366,225,274,738
1636,ARV1,158,150,247,129,127,310
1637,FAM89A,17,27,57,4,23,55
1638,TRIM67,0,0,0,0,0,2
1639,C1orf131,216,159,342,173,190,522
1640,GNPAT,486,485,881,414,445,1248
1641,EXOC8,202,234,353,222,207,634
1642,SPRTN,154,139,259,139,141,383
1643,EGLN1,338,333,530,387,308,822
1645,TSNAX,204,181,402,214,164,501
1646,DISC1,0,2,0,1,0,0
1647,SIPA1L2,243,218,368,201,220,667
1648,MAP10,19,31,30,17,18,35
1649,NTPCR,222,153,342,148,171,483
1650,KCNK1,151,168,228,145,136,387
1651,SLC35F3,35,13,41,18,17,57
1652,COA6,116,96,199,128,96,291
1653,TARBP1,165,191,283,170,189,556
1654,IRF2BP2,3101,2912,4351,2468,2705,7930
1656,TOMM20,1373,1262,2267,1234,1266,3215
1658,RBM34,734,778,1128,575,672,2111
1659,ARID4B,868,895,1458,695,843,2156
1660,GGPS1,379,302,655,262,308,849
1661,TBCE,319,302,510,292,328,840
1662,B3GALNT2,376,405,705,320,364,929
1663,GNG4,0,0,4,0,2,4
1664,LYST,289,290,576,214,224,657
1665,NID1,84,100,124,40,40,73
1666,GPR137B,507,386,538,337,410,950
1667,EDARADD,184,239,288,193,199,462
1668,LGALS8,2251,2249,3562,1668,1762,4835
1670,HEATR1,602,609,1088,563,594,1662
1671,ACTN2,0,0,0,0,0,4
1672,MTR,607,523,964,484,538,1583
1673,RYR2,5,3,15,5,2,21
1675,ZP4,0,0,0,0,0,1
1676,CHRM3,5,7,3,7,2,15
1677,FH,694,566,911,540,555,1631
1678,KMO,36,56,82,64,72,158
1679,OPN3,429,360,595,361,403,1025
1680,CHML,199,147,296,133,174,362
1681,EXO1,46,38,92,42,45,119
1682,PLD5,39,38,61,30,29,99
1683,CEP170,604,525,1032,582,612,1671
1684,SDCCAG8,347,313,605,283,338,983
1686,AKT3,289,260,631,258,257,698
1688,ZBTB18,75,92,159,77,83,193
1689,ADSS,278,315,848,324,304,717
1690,DESI2,271,235,570,196,200,614
1691,COX20,383,369,655,324,295,929
1692,HNRNPU,4601,4205,7282,4381,4314,11840
1693,EFCAB2,26,27,30,20,21,59
1694,KIF26B,55,32,72,45,37,134
1695,SMYD3,108,85,126,83,80,255
1696,TFB2M,78,47,118,68,56,167
1697,CNST,217,235,370,193,229,660
1698,SCCPDH,111,106,164,64,104,213
1699,AHCTF1,958,855,1589,902,1026,2636
1702,ZNF669,36,35,75,35,28,78
1706,ZNF496,55,70,90,75,38,147
1707,NLRP3,0,0,0,0,0,4
1708,TRIM58,6,7,13,12,3,25
1710,SH3BP5L,504,416,726,542,448,1290
